DATE      , MinT, MaxT, MnRH, MxRH, VPDM, VPDA, Rain,  FMH,  FMW,
02/11/2000,   44 ,   53 ,   65 ,   99 ,  480 ,   20 , 0.44 , 22.5 , 60.0 ,
02/12/2000,   46 ,   55 ,   76 ,   99 ,  354 ,  155 , 0.99 , 11.4 , 60.0 ,
02/14/2000,   50 ,   59 ,   28 ,   99 , 1227 ,  896 , 0.69 ,  7.1 , 60.0 ,
02/15/2000,   49 ,   65 ,   35 ,   98 , 1369 ,  254 , 0.13 , 17.5 , 60.0 ,
02/16/2000,   46 ,   61 ,   60 ,   99 ,  732 ,  403 , 0.24 , 35.0 , 60.0 ,
02/17/2000,   42 ,   60 ,   50 ,   98 ,  883 ,  461 , 0.24 ,  7.4 , 60.0 ,
02/18/2000,   45 ,   67 ,   29 ,   87 , 1603 ,  952 , 0.00 ,  4.5 , 60.0 ,
02/19/2000,   55 ,   73 ,   18 ,   42 , 2272 , 1555 , 0.00 ,  3.4 , 60.0 ,
02/21/2000,   42 ,   54 ,   76 ,   99 ,  341 ,  269 , 2.03 , 35.0 , 60.0 ,
02/22/2000,   46 ,   54 ,   83 ,   99 ,  242 ,  181 , 0.04 , 11.1 , 60.0 ,
02/23/2000,   46 ,   55 ,   76 ,   99 ,  354 ,  490 , 0.99 , 35.0 , 60.0 ,
02/24/2000,   41 ,   54 ,   47 ,   96 ,  754 ,  507 , 0.38 ,  7.6 , 60.0 ,
02/25/2000,   42 ,   58 ,   44 ,   99 ,  921 ,  249 , 0.01 , 21.5 , 60.0 ,
02/26/2000,   45 ,   64 ,   62 ,   99 ,  773 ,  304 , 0.01 ,  8.6 , 60.0 ,
02/27/2000,   47 ,   65 ,   56 ,   99 ,  927 ,  492 , 0.31 , 35.0 , 60.0 ,
02/28/2000,   45 ,   62 ,   48 ,   85 ,  989 ,  391 , 0.14 ,  9.6 , 60.0 ,
03/01/2000,   44 ,   64 ,   41 ,   99 , 1200 ,  694 , 0.00 ,  6.6 , 60.0 ,
03/02/2000,   47 ,   69 ,   43 ,   66 , 1379 ,  723 , 0.00 ,  6.2 , 60.0 ,
03/03/2000,   47 ,   69 ,   35 ,   99 , 1572 ,  618 , 0.00 , 14.3 , 60.0 ,
03/04/2000,   44 ,   59 ,   67 ,   99 ,  562 ,  295 , 0.19 , 12.4 , 60.0 ,
03/06/2000,   37 ,   51 ,   58 ,   98 ,  535 ,  239 , 0.41 , 20.8 , 60.0 ,
03/07/2000,   41 ,   56 ,   61 ,   96 ,  597 ,  248 , 0.08 , 16.6 , 60.0 ,
03/08/2000,   44 ,   54 ,   67 ,   99 ,  469 ,  482 , 0.90 , 12.8 , 60.0 ,
03/09/2000,   43 ,   59 ,   65 ,   99 ,  597 ,  202 , 0.01 , 16.4 , 60.0 ,
03/10/2000,   49 ,   69 ,   41 ,   79 , 1427 ,  632 , 0.00 ,  7.0 , 60.0 ,
03/12/2000,   59 ,   81 ,   18 ,   50 , 2961 , 1224 , 0.00 ,  6.2 , 60.0 ,
03/13/2000,   46 ,   78 ,   41 ,   99 , 1931 ,  553 , 0.00 ,  9.5 , 60.0 ,
03/14/2000,   55 ,   81 ,   20 ,   68 , 2889 , 1216 , 0.00 ,  5.0 , 60.0 ,
03/15/2000,   52 ,   85 ,   27 ,   76 , 3000 ,  937 , 0.00 ,  7.6 , 60.0 ,
03/16/2000,   48 ,   74 ,   49 ,   99 , 1461 ,  477 , 0.00 ,  8.7 , 60.0 ,
03/17/2000,   48 ,   73 ,   57 ,   99 , 1191 ,  433 , 0.00 ,  8.0 , 60.0 ,
03/18/2000,   64 ,   80 ,   15 ,   58 , 2971 , 1517 , 0.00 ,  5.7 , 60.0 ,
03/19/2000,   59 ,   83 ,   22 ,   50 , 3005 , 1135 , 0.00 ,  6.9 , 60.0 ,
03/20/2000,   47 ,   78 ,   11 ,   99 , 2913 , 1700 , 0.00 ,  2.0 , 60.0 ,
03/21/2000,   52 ,   69 ,    8 ,   39 , 2225 , 1582 , 0.00 ,  1.6 , 60.0 ,
03/22/2000,   48 ,   76 ,    9 ,   57 , 2788 ,  957 , 0.00 ,  5.4 , 60.0 ,
03/23/2000,   47 ,   75 ,   23 ,   64 , 2281 ,  878 , 0.00 ,  6.6 , 60.0 ,
03/24/2000,   48 ,   68 ,   28 ,   75 , 1683 ,  400 , 0.00 ,  8.3 , 60.0 ,
03/25/2000,   43 ,   70 ,   48 ,   99 , 1302 ,  508 , 0.00 ,  9.8 , 60.0 ,
03/26/2000,   45 ,   70 ,   49 ,   89 , 1276 ,  342 , 0.00 , 19.4 , 66.6 ,
03/27/2000,   48 ,   72 ,   40 ,   99 , 1607 ,  657 , 0.00 , 32.5 , 73.1 ,
03/28/2000,   46 ,   66 ,   56 ,   97 ,  960 ,  484 , 0.00 , 44.2 , 79.7 ,
03/29/2000,   46 ,   66 ,   56 ,   94 ,  960 ,  408 , 0.00 , 54.7 , 85.7 ,
03/30/2000,   48 ,   66 ,   57 ,   99 ,  938 ,  371 , 0.00 , 62.6 , 90.9 ,
03/31/2000,   60 ,   76 ,    6 ,   81 , 2880 , 2176 , 0.00 , 66.3 , 95.7 ,
04/01/2000,   62 ,   80 ,    5 ,   28 , 3320 , 2406 , 0.00 , 73.2 , 99.3 ,
04/02/2000,   62 ,   83 ,    6 ,   44 , 3622 , 1522 , 0.00 , 82.4 ,103.0 ,
04/03/2000,   55 ,   78 ,   37 ,   72 , 2062 ,  888 , 0.00 , 88.4 ,106.2 ,
04/04/2000,   57 ,   83 ,   37 ,   65 , 2427 , 1111 , 0.00 , 94.1 ,109.5 ,
04/05/2000,   54 ,   86 ,   23 ,   83 , 3267 , 1171 , 0.00 , 99.0 ,111.8 ,
04/06/2000,   50 ,   69 ,   62 ,   99 ,  919 ,  482 , 0.00 ,104.2 ,114.5 ,
04/07/2000,   48 ,   68 ,   63 ,   99 ,  865 ,  337 , 0.00 ,113.1 ,120.1 ,
04/08/2000,   55 ,   83 ,   37 ,   88 , 2427 , 1153 , 0.00 ,113.1 ,124.9 ,
04/09/2000,   53 ,   87 ,   16 ,   56 , 3679 , 1293 , 0.00 ,113.1 ,123.3 ,
04/10/2000,   50 ,   78 ,   28 ,   96 , 2357 ,  701 , 0.00 ,113.1 ,122.5 ,
04/11/2000,   59 ,   80 ,   30 ,   63 , 2447 ,  855 , 0.00 ,111.3 ,120.3 ,
04/13/2000,   58 ,   87 ,   15 ,   53 , 3723 , 1419 , 0.00 ,101.9 ,116.4 ,
04/14/2000,   48 ,   78 ,   43 ,   88 , 1866 ,  894 , 0.00 , 94.3 ,113.2 ,
04/15/2000,   48 ,   65 ,   55 ,   99 ,  948 ,  484 , 0.01 , 94.3 ,114.6 ,
04/16/2000,   46 ,   66 ,   55 ,   99 ,  982 ,  520 , 0.00 , 94.3 ,116.4 ,
04/17/2000,   48 ,   66 ,   56 ,   99 ,  960 ,  542 , 1.88 , 94.3 ,130.2 ,
04/18/2000,   45 ,   59 ,   70 ,   99 ,  511 ,  264 , 1.12 , 94.3 ,147.4 ,
04/19/2000,   44 ,   65 ,   61 ,   89 ,  822 ,  283 , 0.00 , 94.3 ,148.5 ,
04/20/2000,  -32 ,   78 ,   35 ,   68 , 2127 ,    0 , 0.00 , 94.3 ,147.1 ,
04/21/2000,   51 ,   79 ,   27 ,   97 , 2469 ,  916 , 0.00 , 94.3 ,145.1 ,
04/22/2000,   48 ,   69 ,   55 ,   99 , 1088 ,  573 , 0.00 , 94.3 ,145.1 ,
04/23/2000,   48 ,   67 ,   61 ,   99 ,  881 ,  324 , 0.00 , 94.3 ,146.4 ,
04/24/2000,   52 ,   73 ,   52 ,   85 , 1330 ,  617 , 0.00 , 94.3 ,143.5 ,
04/25/2000,   58 ,   86 ,   18 ,   68 , 3479 ,  994 , 0.00 , 94.3 ,135.3 ,
04/26/2000,   67 ,   89 ,   13 ,   54 , 4059 , 1530 , 0.00 , 94.3 ,132.7 ,
04/27/2000,   61 ,   93 ,   24 ,   71 , 4018 , 1505 , 0.00 , 94.3 ,131.1 ,
04/28/2000,   51 ,   77 ,   59 ,   99 , 1298 ,  720 , 0.00 , 94.3 ,130.8 ,
04/29/2000,   53 ,   73 ,   30 ,   79 , 1940 ,  982 , 0.00 , 94.3 ,128.4 ,
04/30/2000,   61 ,   85 ,   25 ,   52 , 3082 , 1195 , 0.00 , 94.3 ,125.5 ,
05/01/2000,   66 ,   88 ,   10 ,   48 , 4069 , 1788 , 0.00 , 90.3 ,120.4 ,
05/02/2000,   60 ,   89 ,   23 ,   60 , 3593 , 1249 , 0.00 , 76.4 ,114.6 ,
05/03/2000,   55 ,   83 ,   38 ,   94 , 2389 ,  812 , 0.00 , 76.4 ,115.6 ,
05/04/2000,   54 ,   82 ,   48 ,   99 , 1940 ,  780 , 0.00 , 76.4 ,117.3 ,
05/05/2000,   53 ,   75 ,   64 ,   99 , 1067 ,  515 , 0.01 , 76.4 ,118.2 ,
05/06/2000,   54 ,   68 ,   70 ,   97 ,  701 ,  474 , 0.00 , 76.4 ,119.2 ,
05/07/2000,   51 ,   70 ,   58 ,   98 , 1051 ,  455 , 0.00 , 76.4 ,120.7 ,
05/08/2000,   53 ,   73 ,   55 ,   99 , 1247 ,  451 , 0.00 , 76.4 ,121.3 ,
05/09/2000,   53 ,   77 ,   58 ,   99 , 1330 ,  634 , 0.00 , 76.4 ,120.8 ,
05/10/2000,   52 ,   74 ,   58 ,   99 , 1203 ,  647 , 0.00 , 76.4 ,122.6 ,
05/11/2000,   48 ,   74 ,   19 ,   70 , 2321 , 1426 , 0.00 , 76.4 ,120.8 ,
05/12/2000,   58 ,   80 ,   13 ,   31 , 3041 , 1988 , 0.00 , 72.4 ,115.8 ,
05/13/2000,   59 ,   84 ,    5 ,   36 , 3780 , 1645 , 0.00 , 61.8 ,111.3 ,
05/14/2000,   54 ,   82 ,   10 ,   52 , 3357 , 1364 , 0.00 , 54.6 ,108.3 ,
05/15/2000,   54 ,   73 ,   21 ,   84 , 2189 ,  445 , 0.00 , 50.1 ,106.5 ,
05/16/2000,   49 ,   70 ,   61 ,   99 ,  976 ,  489 , 0.02 , 50.1 ,107.1 ,
05/17/2000,   48 ,   69 ,   53 ,   99 , 1137 ,  400 , 0.00 , 50.1 ,108.2 ,
05/18/2000,   54 ,   76 ,   52 ,   80 , 1470 ,  691 , 0.00 , 50.1 ,108.6 ,
05/19/2000,   63 ,   88 ,   28 ,   54 , 3255 , 1113 , 0.00 , 47.4 ,106.1 ,
05/20/2000,   70 ,   91 ,   14 ,   51 , 4272 , 1835 , 0.00 , 41.9 ,103.8 ,
05/21/2000,   63 ,   97 ,   18 ,   77 , 4902 , 1579 , 0.00 , 39.4 ,102.8 ,
05/22/2000,   56 ,  105 ,   14 ,   99 , 6536 , 1710 , 0.00 , 38.2 ,102.3 ,
05/23/2000,   54 ,   78 ,   62 ,   99 , 1244 ,  579 , 0.00 , 37.0 ,101.8 ,
05/24/2000,   55 ,   65 ,   83 ,   99 ,  358 ,  297 , 0.02 , 37.0 ,105.9 ,
05/25/2000,   56 ,   67 ,   79 ,   99 ,  474 ,  244 , 0.00 , 37.0 ,108.8 ,
05/26/2000,   52 ,   73 ,   64 ,   99 ,  997 ,  320 , 0.00 , 37.0 ,110.7 ,
05/27/2000,   62 ,   93 ,   40 ,   79 , 3172 , 1284 , 0.00 , 37.0 ,110.9 ,
05/28/2000,   65 ,   95 ,   35 ,   72 , 3655 , 1566 , 0.00 , 37.0 ,110.5 ,
05/29/2000,   62 ,   92 ,   35 ,   63 , 3331 , 1211 , 0.00 , 37.0 ,108.7 ,
05/30/2000,   56 ,   83 ,   56 ,   99 , 1695 ,  793 , 0.00 , 37.0 ,108.1 ,
05/31/2000,   55 ,   75 ,   61 ,   99 , 1156 ,  559 , 0.00 , 37.0 ,107.7 ,
06/01/2000,   53 ,   77 ,   57 ,   99 , 1362 ,  472 , 0.00 , 37.0 ,108.6 ,
06/02/2000,   53 ,   80 ,   39 ,   99 , 2132 ,  629 , 0.00 , 37.0 ,109.0 ,
06/03/2000,   59 ,   84 ,   30 ,   65 , 2785 , 1211 , 0.00 , 37.0 ,108.2 ,
06/04/2000,   64 ,   88 ,   15 ,   52 , 3843 , 1505 , 0.00 , 37.0 ,106.7 ,
06/05/2000,   62 ,   90 ,   29 ,   62 , 3418 , 1487 , 0.00 , 35.8 ,105.2 ,
06/06/2000,   60 ,   81 ,   39 ,   71 , 2203 , 1091 , 0.00 ,  6.5 ,102.4 ,
06/07/2000,   58 ,   86 ,   27 ,   75 , 3097 , 1284 , 0.00 ,  7.3 , 99.3 ,
06/08/2000,   51 ,   80 ,   34 ,   99 , 2307 ,  746 , 0.00 , 15.8 , 99.1 ,
06/09/2000,   55 ,   70 ,   50 ,   78 , 1251 ,  495 , 0.00 ,  8.6 , 98.3 ,
06/10/2000,   53 ,   73 ,   45 ,   83 , 1524 ,  368 , 0.00 ,  9.4 , 99.2 ,
06/11/2000,   54 ,   77 ,   48 ,   86 , 1647 ,  499 , 0.00 ,  8.3 ,100.7 ,
06/12/2000,   59 ,   81 ,   44 ,   83 , 2022 ,  639 , 0.00 ,  7.9 ,101.1 ,
06/13/2000,   62 ,   87 ,   28 ,   70 , 3153 ,  917 , 0.00 ,  7.4 , 98.7 ,
06/14/2000,   61 ,   88 ,   42 ,   69 , 2622 , 1001 , 0.00 ,  7.9 , 96.8 ,
06/15/2000,   57 ,   81 ,   58 ,   99 , 1517 ,  489 , 0.00 ,  8.4 , 97.4 ,
06/16/2000,   57 ,   80 ,   58 ,   99 , 1468 ,  737 , 0.00 , 10.1 , 98.5 ,
06/17/2000,   58 ,   72 ,   74 ,   99 ,  696 ,  298 , 0.01 , 12.0 ,102.4 ,
06/18/2000,   57 ,   72 ,   69 ,   99 ,  830 ,  390 , 0.00 ,  9.5 ,105.2 ,
06/19/2000,   56 ,   75 ,   56 ,   99 , 1304 ,  606 , 0.00 ,  7.8 ,107.1 ,
06/20/2000,   56 ,   79 ,   54 ,   99 , 1556 ,  569 , 0.00 ,  7.9 ,108.3 ,
06/21/2000,   56 ,   80 ,   56 ,   99 , 1538 ,  502 , 0.00 ,  8.0 ,109.4 ,
06/23/2000,   59 ,   85 ,   51 ,   99 , 2013 ,  907 , 0.00 ,  8.8 ,109.6 ,
06/24/2000,   58 ,   79 ,   59 ,   99 , 1387 ,  561 , 0.00 ,  8.0 ,110.4 ,
06/25/2000,   65 ,   86 ,   20 ,   62 , 3394 , 1282 , 0.00 ,  6.3 ,108.0 ,
06/26/2000,   73 ,   94 ,   25 ,   54 , 4090 , 2397 , 0.00 ,  4.3 ,105.9 ,
06/27/2000,   66 ,   93 ,   31 ,   66 , 3648 , 1572 , 0.00 ,  6.1 ,104.3 ,
06/28/2000,   65 ,   89 ,   30 ,   72 , 3266 , 1256 , 0.00 ,  6.2 ,102.5 ,
06/29/2000,   58 ,   91 ,   37 ,   99 , 3130 , 1066 , 0.00 ,  7.6 ,102.6 ,
06/30/2000,   57 ,   84 ,   53 ,   99 , 1870 ,  855 , 0.00 ,  7.3 ,102.8 ,
07/01/2000,   57 ,   80 ,   53 ,   99 , 1643 ,  590 , 0.00 ,  8.1 ,103.2 ,
07/02/2000,   57 ,   79 ,   59 ,   99 , 1387 ,  647 , 0.00 ,  8.2 ,105.0 ,
07/03/2000,   56 ,   80 ,   52 ,   99 , 1678 ,  785 , 0.00 ,  7.8 ,107.0 ,
07/04/2000,   56 ,   80 ,   48 ,   94 , 1818 ,  860 , 0.00 ,  8.2 ,108.1 ,
07/05/2000,   55 ,   78 ,   50 ,   91 , 1637 ,  684 , 0.00 ,  7.6 ,108.7 ,
07/06/2000,   55 ,   79 ,   50 ,   99 , 1691 ,  625 , 0.00 ,  7.9 ,109.3 ,
07/07/2000,   56 ,   79 ,   52 ,   96 , 1624 ,  623 , 0.00 ,  8.2 ,109.2 ,
07/08/2000,   56 ,   79 ,   43 ,   98 , 1928 ,  807 , 0.00 ,  7.8 ,109.1 ,
07/09/2000,   55 ,   79 ,   54 ,   98 , 1556 ,  706 , 0.00 ,  8.6 ,110.2 ,
07/10/2000,   54 ,   75 ,   55 ,   99 , 1333 ,  631 , 0.00 ,  7.9 ,111.6 ,
07/11/2000,   55 ,   74 ,   57 ,   99 , 1232 ,  532 , 0.00 ,  8.3 ,113.2 ,
07/12/2000,   54 ,   75 ,   56 ,   99 , 1304 ,  507 , 0.00 ,  7.9 ,114.5 ,
07/13/2000,  -49 ,   81 ,   41 ,   86 , 2131 ,    0 , 0.00 ,  6.5 ,114.0 ,
07/14/2000,   62 ,   89 ,   21 ,   61 , 3686 , 1404 , 0.00 ,  6.5 ,110.9 ,
07/15/2000,   55 ,   85 ,   38 ,   99 , 2548 ,  868 , 0.00 ,  8.2 ,110.8 ,
07/16/2000,   55 ,   79 ,   56 ,   99 , 1488 ,  706 , 0.00 ,  7.8 ,111.7 ,
07/17/2000,  -32 ,   81 ,   52 ,   81 , 1733 ,    0 , 0.00 ,  7.1 ,111.6 ,
07/18/2000,   69 ,   93 ,   26 ,   52 , 3912 , 2202 , 0.00 ,  4.2 ,109.2 ,
07/19/2000,   75 ,  102 ,    4 ,   32 , 6674 , 3033 , 0.00 ,  3.9 ,105.3 ,
07/20/2000,   68 ,  101 ,   10 ,   47 , 6073 , 2371 , 0.00 ,  5.5 ,101.8 ,
07/21/2000,   57 ,   95 ,   24 ,   95 , 4274 , 1291 , 0.00 ,  7.7 ,101.7 ,
07/22/2000,   64 ,   87 ,   44 ,   77 , 2453 , 1249 , 0.00 ,  6.0 ,100.2 ,
07/23/2000,   67 ,   90 ,   14 ,   60 , 4141 , 1947 , 0.00 ,  4.5 , 97.1 ,
07/24/2000,   68 ,   90 ,   11 ,   56 , 4285 , 1734 , 0.00 ,  5.6 , 94.3 ,
07/25/2000,   67 ,   92 ,   31 ,   59 , 3536 , 1626 , 0.00 ,  5.6 , 92.9 ,
07/26/2000,   64 ,   90 ,   36 ,   69 , 3081 , 1396 , 0.00 ,  6.8 , 92.3 ,
07/27/2000,   63 ,   89 ,   28 ,   82 , 3359 , 1192 , 0.00 ,  6.5 , 91.9 ,
07/28/2000,   65 ,   93 ,   25 ,   64 , 3965 , 1659 , 0.00 ,  5.4 , 90.0 ,
07/29/2000,   60 ,   95 ,   22 ,   81 , 4386 , 1663 , 0.00 ,  4.5 , 88.5 ,
07/30/2000,   64 ,   93 ,   26 ,   75 , 3912 , 1678 , 0.00 ,  4.8 , 87.3 ,
07/31/2000,   59 ,   94 ,   27 ,   99 , 3981 , 1756 , 0.00 ,  4.8 , 88.3 ,
08/01/2000,   72 ,   98 ,   25 ,   63 , 4622 , 2511 , 0.00 ,  4.7 , 87.3 ,
08/02/2000,   69 ,   96 ,   25 ,   64 , 4349 , 1766 , 0.00 ,  7.0 , 86.3 ,
08/03/2000,   66 ,   91 ,   31 ,   60 , 3428 , 1905 , 0.00 ,  4.4 , 85.1 ,
08/04/2000,   67 ,   93 ,   28 ,   73 , 3806 , 2574 , 0.00 ,  3.4 , 84.3 ,
08/05/2000,   73 ,   99 ,   26 ,   54 , 4701 , 2312 , 0.00 ,  5.6 , 82.3 ,
08/06/2000,   66 ,   99 ,   29 ,   74 , 4510 , 1758 , 0.00 ,  6.2 , 81.5 ,
08/07/2000,   58 ,   90 ,   46 ,   99 , 2600 ,  938 , 0.00 ,  8.6 , 82.9 ,
08/08/2000,   58 ,   87 ,   46 ,   99 , 2365 ,  886 , 0.00 ,  6.3 , 85.2 ,
08/09/2000,   70 ,   93 ,   27 ,   58 , 3859 , 1871 , 0.00 ,  5.1 , 84.5 ,
08/10/2000,   73 ,   97 ,    9 ,   39 , 5440 , 2718 , 0.00 ,  3.8 , 82.4 ,
08/11/2000,   76 ,  102 ,    9 ,   27 , 6327 , 4113 , 0.00 ,  1.5 , 79.9 ,
08/12/2000,   68 ,  103 ,    9 ,   56 , 6518 , 2770 , 0.00 ,  3.7 , 78.0 ,
08/13/2000,   69 ,   96 ,   17 ,   39 , 4813 , 2483 , 0.00 ,  3.6 , 76.0 ,
08/14/2000,   69 ,   96 ,   17 ,   58 , 4813 , 2277 , 0.00 ,  4.2 , 73.6 ,
08/15/2000,   71 ,   95 ,   25 ,   57 , 4217 , 2001 , 0.00 ,  5.0 , 72.0 ,
08/16/2000,   70 ,   96 ,   19 ,   58 , 4697 , 2410 , 0.00 ,  3.9 , 71.3 ,
08/17/2000,   71 ,  102 ,   16 ,   46 , 5840 , 2756 , 0.00 ,  5.1 , 70.3 ,
08/18/2000,   66 ,   90 ,   16 ,   56 , 4044 , 2030 , 0.00 ,  4.7 , 69.6 ,
08/19/2000,   68 ,   94 ,   27 ,   48 , 3981 , 2011 , 0.00 ,  4.6 , 68.7 ,
08/20/2000,   64 ,   94 ,   20 ,   68 , 4362 , 1724 , 0.00 ,  6.8 , 68.3 ,
08/21/2000,   59 ,   85 ,   49 ,   93 , 2096 ,  912 , 0.00 ,  7.5 , 69.6 ,
08/22/2000,   58 ,   85 ,   47 ,   99 , 2178 ,  830 , 0.00 ,  7.2 , 71.9 ,
08/23/2000,   57 ,   85 ,   47 ,   99 , 2178 ,  871 , 0.00 ,  6.4 , 74.9 ,
08/24/2000,   63 ,   90 ,   40 ,   73 , 2889 , 1231 , 0.00 ,  6.4 , 75.8 ,
08/25/2000,   66 ,   89 ,   29 ,   71 , 3313 , 1503 , 0.00 ,  6.4 , 76.3 ,
08/26/2000,   65 ,   89 ,   17 ,   52 , 3872 , 1437 , 0.00 ,  5.9 , 75.5 ,
08/27/2000,   61 ,   90 ,   15 ,   85 , 4092 , 1187 , 0.00 ,  8.9 , 76.1 ,
08/28/2000,   57 ,   81 ,   53 ,   99 , 1697 ,  672 , 0.00 ,  8.4 , 77.9 ,
08/29/2000,   59 ,   78 ,   55 ,   99 , 1473 ,  500 , 0.00 , 25.5 , 79.7 ,
08/30/2000,   59 ,   77 ,   53 ,   98 , 1488 ,  846 , 0.00 ,  9.0 , 81.9 ,
08/31/2000,   59 ,   77 ,   48 ,   95 , 1647 , 1014 , 0.00 ,  9.8 , 84.6 ,
09/01/2000,   57 ,   77 ,   47 ,   93 , 1678 ,  948 , 0.00 ,  8.4 , 87.1 ,
09/02/2000,   54 ,   75 ,   59 ,   98 , 1215 ,  480 , 0.00 ,  8.1 , 90.5 ,
09/03/2000,   57 ,   78 ,   50 ,   85 , 1637 ,  804 , 0.00 ,  6.9 , 92.1 ,
09/04/2000,   58 ,   80 ,   33 ,   67 , 2342 , 1158 , 0.00 ,  5.9 , 90.4 ,
09/05/2000,   61 ,   84 ,   34 ,   59 , 2626 , 1448 , 0.00 ,  5.1 , 88.5 ,
09/06/2000,   66 ,   89 ,   24 ,   40 , 3546 , 2174 , 0.00 ,  3.5 , 86.1 ,
09/07/2000,   70 ,   94 ,    5 ,   27 , 5180 , 2706 , 0.00 ,  4.4 , 83.5 ,
09/08/2000,   66 ,   95 ,    3 ,   49 , 5455 , 2402 , 0.00 ,  4.3 , 81.5 ,
09/09/2000,   59 ,   91 ,   11 ,   53 , 4421 , 1758 , 0.00 ,  4.6 , 79.8 ,
09/10/2000,   63 ,   87 ,    6 ,   50 , 4117 , 1569 , 0.00 ,  5.2 , 77.9 ,
09/11/2000,   68 ,   94 ,    8 ,   37 , 5017 , 3239 , 0.00 ,  1.3 , 75.0 ,
